"пол","язык папы","язык мамы","язык ребенка","совпадают все три","совпадает с отцом","совпадает с матерью","не совпадает ни с кем"
"1","авар","даргин","авар","0","1","0","0"
"1","азерб","лезг","азерб","0","1","0","0"
"1","арм","рус","арм","0","1","0","0"
"1","арм","татарский","арм","0","1","0","0"
"1","афган","тадж","афган","0","1","0","0"
"1","гагауз","болгар","гагауз","0","1","0","0"
"1","памир","молдав","памир","0","1","0","0"
"1","пушту","афган","пушту","0","1","0","0"
"1","рус","азерб","рус","0","1","0","0"
"1","рус","белорус","рус","0","1","0","0"
"1","рус","евр","рус","0","1","0","0"
"1","рус","молд","рус","0","1","0","0"
"1","рус","молд","рус","0","1","0","0"
"1","рус","молд","рус","0","1","0","0"
"1","рус","молдав","рус","0","1","0","0"
"1","рус","молдав","рус","0","1","0","0"
"1","рус","мордов","рус","0","1","0","0"
"1","рус","татар","рус","0","1","0","0"
"1","рус","татар","рус","0","1","0","0"
"1","рус","татар","рус","0","1","0","0"
"1","рус","укр","рус","0","1","0","0"
"1","рус","укр","рус","0","1","0","0"
"1","рус","укр","рус","0","1","0","0"
"1","рус","укр","рус","0","1","0","0"
"1","рус","укр","рус","0","1","0","0"
"1","рус","укр","рус","0","1","0","0"
"1","рус","укр","рус","0","1","0","0"
"1","рус","франц","рус","0","1","0","0"
"1","рус","чуваш","рус","0","1","0","0"
"1","серб","рус","серб","0","1","0","0"
"1","тадж","кабар","тадж","0","1","0","0"
"1","тадж","узб","тадж","0","1","0","0"
"1","турк","рус","турк","0","1","0","0"
"1","укр","рус","укр","0","1","0","0"
"1","укр","рус","укр","0","1","0","0"
"2","арм","груз","арм","0","1","0","0"
"2","гагауз","болгар","гагауз","0","1","0","0"
"2","кабард","рус","кабард","0","1","0","0"
"2","карач","черкес","карач","0","1","0","0"
"2","рус","арм","рус","0","1","0","0"
"2","рус","белорус","рус","0","1","0","0"
"2","рус","молд","рус","0","1","0","0"
"2","рус","немец","рус","0","1","0","0"
"2","рус","татар","рус","0","1","0","0"
"2","рус","татар","рус","0","1","0","0"
"2","рус","татарский","рус","0","1","0","0"
"2","рус","татарский","рус","0","1","0","0"
"2","рус","укр","рус","0","1","0","0"
"2","рус","укр","рус","0","1","0","0"
"2","рус","укр","рус","0","1","0","0"
"2","рус","укр","рус","0","1","0","0"
"2","рус","укр","рус","0","1","0","0"
"2","рус","чечен","рус","0","1","0","0"
"2","рус","чуваш","рус","0","1","0","0"
"2","татар","рус","татар","0","1","0","0"
"1","талыш","азерб","азерб","0","0","1","0"
"1","рус","молдав","молдав","0","0","1","0"
"1","рус","молдав","молдав","0","0","1","0"
"1","черкес","молдав","молдав","0","0","1","0"
"1","рус","молдавский","молдавский","0","0","1","0"
"1","азерб","рус","рус","0","0","1","0"
"1","азерб","рус","рус","0","0","1","0"
"1","азерб","рус","рус","0","0","1","0"
"1","азерб","рус","рус","0","0","1","0"
"1","азерб","рус","рус","0","0","1","0"
"1","азерб","рус","рус","0","0","1","0"
"1","англ","рус","рус","0","0","1","0"
"1","англ","рус","рус","0","0","1","0"
"1","арм","рус","рус","0","0","1","0"
"1","арм","рус","рус","0","0","1","0"
"1","арм","рус","рус","0","0","1","0"
"1","арм","рус","рус","0","0","1","0"
"1","арм","рус","рус","0","0","1","0"
"1","арм","рус","рус","0","0","1","0"
"1","арм","рус","рус","0","0","1","0"
"1","арм","рус","рус","0","0","1","0"
"1","белорус","рус","рус","0","0","1","0"
"1","венгер","рус","рус","0","0","1","0"
"1","груз","рус","рус","0","0","1","0"
"1","даг","рус","рус","0","0","1","0"
"1","итальян","рус","рус","0","0","1","0"
"1","кабард","рус","рус","0","0","1","0"
"1","кабард","рус","рус","0","0","1","0"
"1","каз","рус","рус","0","0","1","0"
"1","мордовский","рус","рус","0","0","1","0"
"1","мордовский","рус","рус","0","0","1","0"
"1","суржик","рус","рус","0","0","1","0"
"1","тадж","рус","рус","0","0","1","0"
"1","татар","рус","рус","0","0","1","0"
"1","татарский","рус","рус","0","0","1","0"
"1","тур","рус","рус","0","0","1","0"
"1","тур","рус","рус","0","0","1","0"
"1","тур","рус","рус","0","0","1","0"
"1","турк","рус","рус","0","0","1","0"
"1","узб","рус","рус","0","0","1","0"
"1","укр","рус","рус","0","0","1","0"
"1","укр","рус","рус","0","0","1","0"
"1","укр","рус","рус","0","0","1","0"
"1","укр","рус","рус","0","0","1","0"
"1","укр","рус","рус","0","0","1","0"
"1","укр","рус","рус","0","0","1","0"
"1","укр","рус","рус","0","0","1","0"
"1","укр","рус","рус","0","0","1","0"
"1","афган","тадж","тадж","0","0","1","0"
"1","тадж","узб","узб","0","0","1","0"
"1","рус","укр","укр","0","0","1","0"
"1","иврит","фарсский","фарсский","0","0","1","0"
"2","белорус","рус","рус","0","0","1","0"
"2","тадж","арм","арм","0","0","1","0"
"2","араб","белорус","белорус","0","0","1","0"
"2","рус","кирг","кирг","0","0","1","0"
"2","рус","молдавский","молдавский","0","0","1","0"
"2","азерб","рус","рус","0","0","1","0"
"2","англ","рус","рус","0","0","1","0"
"2","араб","рус","рус","0","0","1","0"
"2","арм","рус","рус","0","0","1","0"
"2","арм","рус","рус","0","0","1","0"
"2","арм","рус","рус","0","0","1","0"
"2","арм","рус","рус","0","0","1","0"
"2","арм","рус","рус","0","0","1","0"
"2","арм","рус","рус","0","0","1","0"
"2","арм","рус","рус","0","0","1","0"
"2","арм","рус","рус","0","0","1","0"
"2","бел","рус","рус","0","0","1","0"
"2","белорус","рус","рус","0","0","1","0"
"2","белорус","рус","рус","0","0","1","0"
"2","венг","рус","рус","0","0","1","0"
"2","груз","рус","рус","0","0","1","0"
"2","испан","рус","рус","0","0","1","0"
"2","кирг","рус","рус","0","0","1","0"
"2","лезгин","рус","рус","0","0","1","0"
"2","молд","рус","рус","0","0","1","0"
"2","молдав","рус","рус","0","0","1","0"
"2","молдаван","рус","рус","0","0","1","0"
"2","молдавский","рус","рус","0","0","1","0"
"2","немец ","рус","рус","0","0","1","0"
"2","осетин","рус","рус","0","0","1","0"
"2","осетин","рус","рус","0","0","1","0"
"2","тадж","рус","рус","0","0","1","0"
"2","тадж","рус","рус","0","0","1","0"
"2","тур","рус","рус","0","0","1","0"
"2","узб","рус","рус","0","0","1","0"
"2","укр","рус","рус","0","0","1","0"
"2","укр","рус","рус","0","0","1","0"
"2","укр","рус","рус","0","0","1","0"
"2","укр","рус","рус","0","0","1","0"
"2","укр","рус","рус","0","0","1","0"
"2","укр","рус","рус","0","0","1","0"
"2","укр","рус","рус","0","0","1","0"
"2","укр","рус","рус","0","0","1","0"
"2","укр","рус","рус","0","0","1","0"
"2","укр","рус","рус","0","0","1","0"
"2","укр","рус","рус","0","0","1","0"
"2","укр","рус","рус","0","0","1","0"
"2","чуваш","рус","рус","0","0","1","0"
"2","чуваш","рус","рус","0","0","1","0"
"2","арм","татарский","татарский","0","0","1","0"
"2","тадж","узб","узб","0","0","1","0"
"2","азерб","укр","укр","0","0","1","0"
"2","рус","укр","укр","0","0","1","0"
"2","рус","укр","укр","0","0","1","0"
"2","пушту","фарси","фарси","0","0","1","0"
"2","рус","чуваш","чуваш","0","0","1","0"
"1","азерб","азерб","рус","0","0","0","1"
"1","азерб","азерб","рус","0","0","0","1"
"1","азерб","азерб","рус","0","0","0","1"
"1","азерб","азерб","рус","0","0","0","1"
"1","азерб","азерб","рус","0","0","0","1"
"1","арм","арм","рус","0","0","0","1"
"1","арм","арм","рус","0","0","0","1"
"1","арм","арм","рус","0","0","0","1"
"1","арм","арм","рус","0","0","0","1"
"1","арм","арм","рус","0","0","0","1"
"1","арм","арм","рус","0","0","0","1"
"1","арм","арм","рус","0","0","0","1"
"1","вьетнам","вьетнам","рус","0","0","0","1"
"1","вьетнам","вьетнам","рус","0","0","0","1"
"1","даргин","даргин","рус","0","0","0","1"
"1","молдав","молдав","рус","0","0","0","1"
"1","укр","мордовский","рус","0","0","0","1"
"1","осет","осет","рус","0","0","0","1"
"1","болгар","рус ","рус","0","0","0","1"
"1","агул","табасар","рус","0","0","0","1"
"1","турецкий","турецкий","рус","0","0","0","1"
"1","арм","узб","рус","0","0","0","1"
"1","тадж","узб","рус","0","0","0","1"
"1","узб","узб","рус","0","0","0","1"
"1","азерб","укр","рус","0","0","0","1"
"1","андийский","укр","рус","0","0","0","1"
"1","татарский","укр","рус","0","0","0","1"
"1","укр","укр","рус","0","0","0","1"
"1","укр","укр","рус","0","0","0","1"
"1","груз","чуваш","рус","0","0","0","1"
"1","чуваш","чуваш","рус","0","0","0","1"
"1","чуваш","чуваш","рус","0","0","0","1"
"1","марийский","чувашский","рус","0","0","0","1"
"1","молдаванский","чувашский","рус","0","0","0","1"
"2","рус","рус","арм","0","0","0","1"
"2","азерб","азерб","рус","0","0","0","1"
"2","азерб","азерб","рус","0","0","0","1"
"2","азерб","азерб","рус","0","0","0","1"
"2","азерб","азерб","рус","0","0","0","1"
"2","азерб","азерб","рус","0","0","0","1"
"2","азерб","азерб","рус","0","0","0","1"
"2","арм","арм","рус","0","0","0","1"
"2","арм","арм","рус","0","0","0","1"
"2","арм","арм","рус","0","0","0","1"
"2","арм","арм","рус","0","0","0","1"
"2","арм","арм","рус","0","0","0","1"
"2","вьетнам","вьетнам","рус","0","0","0","1"
"2","даргин","даргин","рус","0","0","0","1"
"2","кабард","кабард","рус","0","0","0","1"
"2","молд","молд","рус","0","0","0","1"
"2","тадж","молд","рус","0","0","0","1"
"2","морд","морд","рус","0","0","0","1"
"2","осетин","осетин","рус","0","0","0","1"
"2","тадж","тадж","рус","0","0","0","1"
"2","талыш","талыш","рус","0","0","0","1"
"2","татар","татар","рус","0","0","0","1"
"2","татар","татар","рус","0","0","0","1"
"2","татар","татар","рус","0","0","0","1"
"2","узб","татар","рус","0","0","0","1"
"2","груз","узб","рус","0","0","0","1"
"2","нем","укр","рус","0","0","0","1"
"2","укр","укр","рус","0","0","0","1"
"2","укр","укр","рус","0","0","0","1"
"2","фарси","фарси","рус","0","0","0","1"
"2","чуваш","чуваш","рус","0","0","0","1"
"2","укр","чуваш","рус","0","0","0","1"
